municipalities,total_employment,normalized_data
Downtown,537310,37.05816223075915
North York Centre,34920,2.408425350538999
Yonge-Eglinton,17500,1.2069714671945155
Scarborough Centre,15250,1.0517894214123635
Etobicoke Centre,9960,0.6869391893289928
Downtown and the Centres,614940,42.412287659234025
Rest of City,834970,57.58771234076598
